customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Draymond GreenGSW,9.8,0.79,0.315,0.377,0.058,0.039,0.21,21,0.222
Jalen GreenHOU,15.7,0.52,0.271,0.129,0.031,0.088,0.48,69,0.146
JaMychal GreenDEN,12.1,0.621,0.391,0.156,0.034,0.04,0.379,61,0.306
Javonte GreenCHI,9.1,0.689,0.535,0.123,0.031,0,0.311,58,0.594
Jeff GreenDEN,11.3,0.682,0.342,0.233,0.078,0.03,0.318,74,0.548
Josh GreenDAL,11.1,0.695,0.328,0.227,0.098,0.043,0.305,20,0.679
Blake GriffinBRK,13.5,0.537,0.339,0.15,0.035,0.013,0.463,13,0.262
Quentin GrimesNYK,22.1,0.196,0.089,0.017,0.021,0.068,0.804,3,0.249
Kyle GuyMIA,18.7,0.385,0.108,0.169,0.031,0.077,0.615,0,0.225
Rui HachimuraWAS,14.7,0.677,0.197,0.15,0.16,0.171,0.323,22,0.285
Tyrese HaliburtonTOT,16.7,0.572,0.13,0.183,0.158,0.101,0.428,25,0.139
Tyrese HaliburtonSAC,16.8,0.57,0.118,0.183,0.164,0.106,0.43,12,0.147
Tyrese HaliburtonIND,16.6,0.576,0.152,0.183,0.149,0.093,0.424,13,0.124
Tyler HallNYK,,,,,,,,0,
R.J. HamptonORL,13.7,0.6,0.217,0.304,0.044,0.035,0.4,9,0.197
Tim Hardaway Jr.DAL,19.6,0.426,0.094,0.092,0.098,0.142,0.574,15,0.194
James HardenTOT,14.6,0.548,0.231,0.232,0.061,0.024,0.452,6,0.049
James HardenBRK,14.2,0.565,0.239,0.242,0.061,0.023,0.435,6,0.052
James HardenPHI,15.6,0.507,0.21,0.206,0.063,0.028,0.493,0,0.043
Maurice HarklessSAC,15,0.442,0.265,0.155,0.006,0.017,0.558,17,0.604
Jared HarperNOP,16.8,0.538,0.192,0.115,0.077,0.154,0.462,1,0.083
Montrezl HarrellTOT,4.8,0.969,0.582,0.274,0.079,0.034,0.031,150,0.118
Montrezl HarrellWAS,5.5,0.961,0.517,0.319,0.089,0.037,0.039,101,0.133
Montrezl HarrellCHO,3.3,0.988,0.727,0.174,0.058,0.029,0.012,49,0
Gary HarrisORL,17.2,0.454,0.145,0.152,0.051,0.107,0.546,7,0.464
Joe HarrisBRK,19.6,0.29,0.113,0.105,0.048,0.024,0.71,0,0.307
Tobias HarrisPHI,11.7,0.731,0.25,0.282,0.156,0.043,0.269,43,0.262
Shaquille HarrisonBRK,9.5,0.667,0.5,0.167,0,0,0.333,0,1
Josh HartTOT,12.4,0.626,0.399,0.134,0.06,0.033,0.374,19,0.169
Josh HartNOP,11.4,0.663,0.44,0.137,0.052,0.034,0.337,14,0.208
Josh HartPOR,14.5,0.546,0.311,0.126,0.077,0.033,0.454,5,0.108
Isaiah HartensteinLAC,5.9,0.918,0.456,0.369,0.093,0,0.082,66,0.2
Udonis HaslemMIA,9.4,0.871,0.419,0.161,0.194,0.097,0.129,0,0.75
Sam HauserBOS,22.7,0.12,0.1,0.02,0,0,0.88,0,0.318
Jaxson HayesNOP,6.6,0.857,0.54,0.259,0.04,0.018,0.143,105,0.316
Killian HayesDET,14.3,0.636,0.163,0.253,0.135,0.085,0.364,13,0.359
Gordon HaywardCHO,14.4,0.643,0.214,0.173,0.157,0.099,0.357,19,0.205
Aaron HenryPHI,12,0.8,0.2,0.2,0.4,0,0.2,0,0
Juancho HernangómezTOT,17.2,0.349,0.217,0.123,0.009,0,0.651,5,0.362
Juancho HernangómezBOS,18.6,0.333,0.148,0.148,0.037,0,0.667,0,0.167
Juancho HernangómezSAS,13.8,0.5,0.333,0.167,0,0,0.5,0,0.333
Juancho HernangómezUTA,17,0.342,0.233,0.11,0,0,0.658,5,0.438
Willy HernangómezNOP,4.2,0.963,0.563,0.352,0.043,0.006,0.037,30,0.083
Tyler HerroMIA,16,0.609,0.137,0.193,0.156,0.123,0.391,14,0.207
Buddy HieldTOT,19.7,0.348,0.132,0.083,0.069,0.064,0.652,7,0.154
Buddy HieldSAC,20.8,0.286,0.114,0.063,0.052,0.056,0.714,4,0.131
Buddy HieldIND,17.7,0.454,0.163,0.116,0.099,0.077,0.546,3,0.204
Haywood HighsmithMIA,16.7,0.391,0.217,0.13,0,0.043,0.609,0,0.571
George HillMIL,15.4,0.513,0.265,0.138,0.062,0.047,0.487,3,0.381
Malcolm HillTOT,19.5,0.308,0.115,0.115,0.019,0.058,0.692,0,0.306
Malcolm HillATL,19,0.375,0.125,0,0.125,0.125,0.625,0,0.8
Malcolm HillCHI,19.6,0.295,0.114,0.136,0,0.045,0.705,0,0.226
Solomon HillATL,17.9,0.35,0.25,0.1,0,0,0.65,0,0.231
Nate HintonIND,8.1,1,0,1,0,0,0,0,
Jaylen HoardOKC,10,0.722,0.322,0.344,0.033,0.022,0.278,4,0.28
Aaron HolidayTOT,13.1,0.695,0.175,0.299,0.166,0.056,0.305,0,0.155
Aaron HolidayWAS,12.9,0.687,0.178,0.318,0.164,0.028,0.313,0,0.179
Aaron HolidayPHO,13.5,0.71,0.169,0.266,0.169,0.105,0.29,0,0.111
Jrue HolidayMIL,13.6,0.664,0.222,0.246,0.124,0.071,0.336,4,0.103
Justin HolidayTOT,20.7,0.272,0.104,0.048,0.044,0.076,0.728,12,0.288
Justin HolidayIND,21.1,0.266,0.1,0.037,0.05,0.079,0.734,7,0.292
Justin HolidaySAC,20,0.284,0.113,0.074,0.029,0.069,0.716,5,0.281
Richaun HolmesSAC,5.5,0.983,0.5,0.273,0.2,0.01,0.017,62,0
Rodney HoodTOT,19.6,0.42,0.089,0.096,0.102,0.134,0.58,1,0.286
Rodney HoodMIL,19.9,0.389,0.099,0.084,0.084,0.122,0.611,1,0.3
Rodney HoodLAC,18.1,0.577,0.038,0.154,0.192,0.192,0.423,0,0.182
Scotty HopsonOKC,17.3,0.75,0,0.25,0,0.5,0.25,0,0
Al HorfordBOS,15.3,0.534,0.17,0.243,0.069,0.053,0.466,31,0.279
Talen Horton-TuckerLAL,12.8,0.662,0.297,0.204,0.1,0.059,0.338,16,0.187
Danuel House Jr.TOT,16.9,0.409,0.207,0.116,0.045,0.04,0.591,7,0.521
Danuel House Jr.HOU,15.2,0.541,0.311,0.081,0.068,0.081,0.459,2,0.353
Danuel House Jr.NYK,27,0,0,0,0,0,1,0,0
Danuel House Jr.UTA,17.8,0.333,0.146,0.138,0.033,0.016,0.667,5,0.598
Dwight HowardLAL,4.5,0.932,0.63,0.251,0.037,0.014,0.068,40,0.133
Markus HowardDEN,20.2,0.307,0.089,0.119,0.04,0.059,0.693,0,0.243
Kevin HuerterATL,18,0.459,0.109,0.136,0.136,0.079,0.541,3,0.26
Jay HuffLAL,19.9,0.333,0,0.333,0,0,0.667,0,0
Elijah HughesTOT,20.1,0.34,0.09,0.09,0.125,0.035,0.66,2,0.274
Elijah HughesUTA,21.1,0.222,0.111,0.056,0.028,0.028,0.778,1,0.393
Elijah HughesPOR,19.8,0.38,0.083,0.102,0.157,0.037,0.62,1,0.224
Feron HuntNYK,1.5,1,1,0,0,0,0,0,
De'Andre HunterATL,13.9,0.661,0.219,0.179,0.153,0.11,0.339,22,0.405
Chandler HutchisonPHO,5,1,0.5,0.5,0,0,0,0,
Bones HylandDEN,19.4,0.373,0.123,0.13,0.072,0.049,0.627,3,0.173
Serge IbakaTOT,13.8,0.666,0.193,0.274,0.105,0.095,0.334,21,0.091
Serge IbakaLAC,13.9,0.677,0.182,0.271,0.12,0.104,0.323,12,0.032
Serge IbakaMIL,13.7,0.644,0.212,0.279,0.077,0.077,0.356,9,0.189
Andre IguodalaGSW,18.1,0.388,0.207,0.116,0.025,0.041,0.612,17,0.338
Joe InglesUTA,21.3,0.211,0.039,0.147,0.014,0.011,0.789,0,0.187
Brandon IngramNOP,14.6,0.77,0.14,0.152,0.249,0.229,0.23,39,0.133
Kyrie IrvingBRK,16.5,0.612,0.093,0.188,0.203,0.128,0.388,1,0.146
Wes IwunduATL,12.3,0.722,0.278,0.167,0.111,0.167,0.278,0,0.6
Frank JacksonDET,17.4,0.422,0.166,0.159,0.068,0.029,0.578,5,0.33
Isaiah JacksonIND,5,0.922,0.621,0.218,0.053,0.029,0.078,46,0.063
Jaren Jackson Jr.MEM,13.1,0.613,0.218,0.335,0.055,0.005,0.387,46,0.175
Josh JacksonTOT,14.9,0.567,0.243,0.17,0.06,0.093,0.433,9,0.238
Josh JacksonDET,15.2,0.55,0.243,0.163,0.056,0.088,0.45,9,0.257
Josh JacksonSAC,13.7,0.653,0.245,0.204,0.082,0.122,0.347,0,0.118
Justin JacksonTOT,19.9,0.4,0,0.2,0.067,0.133,0.6,0,0.111
Justin JacksonBOS,20.9,1,0,0,0,1,0,0,
Justin JacksonPHO,19.8,0.357,0,0.214,0.071,0.071,0.643,0,0.111
Reggie JacksonLAC,16.3,0.581,0.145,0.19,0.106,0.14,0.419,10,0.186
LeBron JamesLAL,13.8,0.633,0.325,0.141,0.073,0.094,0.367,85,0.074
DeJon JarreauIND,,,,,,,,0,
DaQuan JeffriesMEM,12.1,0.5,0.5,0,0,0,0.5,1,1
Ty JeromeOKC,18.3,0.433,0.07,0.235,0.113,0.015,0.567,0,0.161
Isaiah JoePHI,22.2,0.237,0.079,0.034,0.045,0.079,0.763,4,0.296
Alize JohnsonTOT,6.2,0.897,0.564,0.282,0.051,0,0.103,0,0.5
Alize JohnsonCHI,6.6,0.913,0.478,0.391,0.043,0,0.087,0,0.5
Alize JohnsonWAS,9.7,0.667,0.667,0,0,0,0.333,0,0.5
Alize JohnsonNOP,3.2,1,0.7,0.2,0.1,0,0,0,
B.J. JohnsonORL,16.9,0.6,0.2,0.08,0.12,0.2,0.4,1,0.2
Cameron JohnsonPHO,18.6,0.356,0.127,0.147,0.041,0.041,0.644,19,0.368
David JohnsonTOR,26.1,0,0,0,0,0,1,0,0
Jalen JohnsonATL,10.8,0.683,0.488,0.073,0.073,0.049,0.317,10,0.385
James JohnsonBRK,9.4,0.723,0.476,0.192,0.033,0.023,0.277,25,0.376
Joe JohnsonBOS,18.1,1,0,0,0,1,0,0,
Keldon JohnsonSAS,13.4,0.605,0.218,0.295,0.064,0.029,0.395,25,0.228
Keon JohnsonTOT,13.3,0.632,0.276,0.188,0.103,0.066,0.368,12,0.18
Keon JohnsonLAC,11,0.784,0.294,0.255,0.098,0.137,0.216,3,0.545
Keon JohnsonPOR,13.9,0.597,0.271,0.172,0.104,0.05,0.403,9,0.135
Stanley JohnsonLAL,13.7,0.582,0.243,0.215,0.088,0.036,0.418,2,0.39
Tyler JohnsonTOT,22.2,0.35,0,0,0.15,0.2,0.65,0,0.308
Tyler JohnsonPHI,23.6,0.3,0,0,0.1,0.2,0.7,0,0
Tyler JohnsonSAS,20.8,0.4,0,0,0.2,0.2,0.6,0,0.667
Nikola Joki?DEN,10.2,0.78,0.268,0.384,0.082,0.046,0.22,31,0.038
Carlik JonesTOT,10.1,0.889,0.333,0.111,0.333,0.111,0.111,0,1
Carlik JonesDAL,10,0.857,0.286,0.143,0.429,0,0.143,0,1
Carlik JonesDEN,10.2,1,0.5,0,0,0.5,0,0,
Damian JonesSAC,7.4,0.891,0.489,0.241,0.06,0.102,0.109,57,0.241
Derrick Jones Jr.CHI,8.9,0.687,0.549,0.128,0.005,0.005,0.313,39,0.672
Herbert JonesNOP,10.7,0.707,0.413,0.205,0.016,0.073,0.293,52,0.521
Jemerrio JonesLAL,2.7,1,0.667,0.333,0,0,0,0,
Kai JonesCHO,7.7,0.857,0.5,0.214,0.071,0.071,0.143,7,0.5
Mason JonesLAL,10.5,0.733,0.267,0.4,0.067,0,0.267,0,0
Tre JonesSAS,9.7,0.85,0.307,0.307,0.201,0.035,0.15,1,0.451
Tyus JonesMEM,15.2,0.629,0.1,0.241,0.243,0.045,0.371,0,0.21
DeAndre JordanTOT,1.7,1,0.818,0.168,0.007,0.007,0,69,
DeAndre JordanLAL,1.8,1,0.798,0.191,0,0.011,0,45,
DeAndre JordanPHI,1.6,1,0.852,0.13,0.019,0,0,24,
Cory JosephDET,14.7,0.608,0.22,0.21,0.065,0.113,0.393,0,0.248
Georgios KalaitzakisTOT,13.8,0.612,0.269,0.179,0.09,0.075,0.388,4,0.154
Georgios KalaitzakisMIL,13.4,0.636,0.182,0.273,0.182,0,0.364,0,0
Georgios KalaitzakisOKC,13.9,0.607,0.286,0.161,0.071,0.089,0.393,4,0.182
Frank KaminskyPHO,9.2,0.773,0.303,0.394,0.061,0.015,0.227,4,0.067
Luke KennardLAC,20.8,0.338,0.05,0.086,0.121,0.081,0.662,0,0.142
Braxton KeyTOT,11,0.708,0.292,0.292,0.069,0.056,0.292,6,0.429
Braxton KeyPHI,12.7,0.5,0.5,0,0,0,0.5,0,0
Braxton KeyDET,11,0.714,0.286,0.3,0.071,0.057,0.286,6,0.45
George KingDAL,19.6,0.2,0,0.2,0,0,0.8,0,0.75
Louis KingSAC,20.1,0.426,0.021,0.128,0.085,0.191,0.574,0,0.296
Corey KispertWAS,18.1,0.377,0.167,0.132,0.045,0.033,0.623,12,0.325
Maxi KleberDAL,19.9,0.28,0.164,0.051,0.04,0.025,0.72,20,0.231
Brandon KnightDAL,19.4,0.32,0.28,0.04,0,0,0.68,0,0.118
Nathan KnightMIN,5.7,0.852,0.591,0.25,0.011,0,0.148,13,0.308
Kevin KnoxTOT,18.5,0.365,0.153,0.106,0.059,0.047,0.635,7,0.315
Kevin KnoxNYK,20,0.3,0.125,0.075,0.075,0.025,0.7,2,0.25
Kevin KnoxATL,17.2,0.422,0.178,0.133,0.044,0.067,0.578,5,0.385
John KoncharMEM,14.3,0.519,0.332,0.092,0.053,0.042,0.481,18,0.46
Furkan KorkmazPHI,17.4,0.434,0.187,0.149,0.047,0.051,0.566,8,0.199
Luke KornetTOT,7.2,0.815,0.519,0.222,0.074,0,0.185,4,0
Luke KornetCLE,7.7,0.8,0.6,0.2,0,0,0.2,0,0
Luke KornetMIL,11.9,1,0,0,1,0,0,0,
Luke KornetBOS,6.9,0.81,0.524,0.238,0.048,0,0.19,4,0
Vit KrejciOKC,17.5,0.413,0.102,0.257,0.012,0.042,0.587,5,0.194
Arnoldas KulbokaCHO,23.4,0,0,0,0,0,1,0,1
Jonathan KumingaGSW,11,0.676,0.341,0.276,0.043,0.015,0.324,74,0.349
Kyle KuzmaWAS,14.8,0.599,0.167,0.26,0.108,0.065,0.401,19,0.227
Anthony LambSAS,27.1,0,0,0,0,0,1,0,0
Jeremy LambTOT,17.4,0.51,0.089,0.202,0.147,0.072,0.49,0,0.188
Jeremy LambIND,18,0.487,0.083,0.184,0.154,0.066,0.513,0,0.205
Jeremy LambSAC,16.3,0.555,0.101,0.235,0.134,0.084,0.445,0,0.151
Jock LandaleSAS,13.3,0.564,0.368,0.152,0.025,0.02,0.436,23,0.225
Romeo LangfordTOT,14.4,0.555,0.204,0.241,0.079,0.031,0.445,8,0.518
Romeo LangfordBOS,14.5,0.549,0.207,0.239,0.076,0.027,0.451,7,0.518
Romeo LangfordSAS,12.3,0.714,0.143,0.286,0.143,0.143,0.286,1,0.5
Zach LaVineCHI,15.2,0.599,0.264,0.103,0.086,0.147,0.401,62,0.139
Jake LaymanMIN,14.4,0.521,0.301,0.123,0.055,0.041,0.479,6,0.486
Damion LeeGSW,16.4,0.512,0.188,0.146,0.091,0.086,0.488,2,0.396
Saben LeeDET,11.2,0.661,0.379,0.232,0.04,0.011,0.339,7,0.233
Alex LenSAC,7,0.881,0.415,0.335,0.125,0.006,0.119,26,0.286
Caris LeVertTOT,12.8,0.7,0.207,0.26,0.201,0.032,0.3,20,0.129
Caris LeVertIND,13,0.696,0.195,0.259,0.211,0.032,0.304,15,0.138
Caris LeVertCLE,12.4,0.711,0.241,0.263,0.177,0.03,0.289,5,0.104
Kira Lewis Jr.NOP,14.8,0.603,0.267,0.171,0.103,0.062,0.397,3,0.241
Scottie LewisCHO,,,,,,,,0,
Damian LillardPOR,17.9,0.486,0.239,0.071,0.074,0.101,0.514,2,0.056
Nassir LittlePOR,14.9,0.511,0.283,0.14,0.038,0.051,0.489,32,0.279
Isaiah LiversDET,20.1,0.289,0.111,0.078,0.033,0.067,0.711,1,0.406
Kevon LooneyGSW,4.6,0.997,0.541,0.308,0.066,0.082,0.003,83,0
Brook LopezMIL,13.2,0.595,0.298,0.198,0.084,0.015,0.405,15,0.34
Robin LopezORL,6.2,0.97,0.281,0.618,0.055,0.015,0.03,7,0.167
Didi LouzadaTOT,20,0.303,0.061,0.121,0.061,0.061,0.697,0,0.174
Didi LouzadaNOP,25.1,0,0,0,0,0,1,0,0.333
Didi LouzadaPOR,19.4,0.333,0.067,0.133,0.067,0.067,0.667,0,0.15
Kevin LoveCLE,19.7,0.373,0.113,0.1,0.084,0.076,0.627,5,0.17
Kyle LowryMIA,19.8,0.391,0.121,0.091,0.091,0.088,0.609,0,0.147
Gabriel LundbergPHO,19.3,0.579,0.158,0.053,0,0.368,0.421,0,0
Timothé Luwawu-CabarrotATL,17.5,0.344,0.22,0.07,0.038,0.016,0.656,6,0.459
Trey LylesTOT,12.8,0.628,0.292,0.224,0.077,0.036,0.372,23,0.239
Trey LylesDET,13.2,0.62,0.284,0.216,0.073,0.047,0.38,14,0.205
Trey LylesSAC,11.8,0.646,0.309,0.242,0.084,0.011,0.354,9,0.317
Théo MaledonOKC,15.3,0.527,0.117,0.334,0.054,0.022,0.473,1,0.18
Sandro MamukelashviliMIL,13.3,0.548,0.409,0.104,0.026,0.009,0.452,8,0.25
Terance MannLAC,12.3,0.699,0.313,0.18,0.138,0.068,0.301,56,0.389
Tre MannOKC,16.7,0.537,0.102,0.264,0.094,0.078,0.463,6,0.143
Boban Marjanovi?DAL,7,0.943,0.329,0.414,0.171,0.029,0.057,9,0
Lauri MarkkanenCLE,16.5,0.459,0.226,0.144,0.061,0.028,0.541,52,0.2
Naji MarshallNOP,12.8,0.61,0.32,0.193,0.071,0.026,0.39,14,0.343
Caleb MartinMIA,12.6,0.622,0.373,0.146,0.034,0.068,0.378,36,0.452
Cody MartinCHO,12.1,0.624,0.39,0.137,0.045,0.052,0.376,34,0.597
Kelan MartinTOT,15.4,0.561,0.234,0.123,0.088,0.117,0.439,3,0.347
Kelan MartinIND,15.4,0.56,0.238,0.119,0.083,0.119,0.44,3,0.351
Kelan MartinBOS,14.4,0.667,0,0.333,0.333,0,0.333,0,0
Kenyon Martin Jr.HOU,9.8,0.679,0.455,0.222,0.002,0,0.321,114,0.274
Garrison MathewsHOU,22.5,0.163,0.104,0.041,0.009,0.009,0.837,10,0.244
Dakota MathiasMEM,25.1,0,0,0,0,0,1,0,0.167
Wesley MatthewsMIL,19.1,0.286,0.155,0.091,0.041,0,0.714,0,0.382
Tyrese MaxeyPHI,12.9,0.689,0.258,0.237,0.121,0.073,0.311,14,0.181
Skylar MaysATL,12.1,0.609,0.422,0.109,0.016,0.063,0.391,2,0.36
Miles McBrideNYK,19.1,0.37,0.139,0.093,0.019,0.12,0.63,0,0.25
Mac McClungTOT,16.5,0.5,0.333,0,0,0.167,0.5,0,0
Mac McClungCHI,16,1,0,0,0,1,0,0,
Mac McClungLAL,16.6,0.4,0.4,0,0,0,0.6,0,0
CJ McCollumTOT,16.2,0.597,0.127,0.183,0.162,0.125,0.403,4,0.13
CJ McCollumPOR,16.7,0.565,0.126,0.165,0.155,0.119,0.435,2,0.166
CJ McCollumNOP,15.6,0.639,0.128,0.206,0.172,0.132,0.361,2,0.072
T.J. McConnellIND,10,0.841,0.274,0.332,0.173,0.063,0.159,0,0.333
Jaden McDanielsMIN,13.8,0.545,0.283,0.179,0.054,0.029,0.455,46,0.496
Jalen McDanielsCHO,13.4,0.575,0.283,0.224,0.051,0.016,0.425,17,0.38
Doug McDermottSAS,16.6,0.449,0.176,0.185,0.06,0.028,0.551,5,0.188
JaVale McGeePHO,4.3,0.98,0.535,0.371,0.052,0.022,0.02,100,0
Cameron McGriffPOR,13,0.571,0.357,0.143,0,0.071,0.429,0,0.333
Rodney McGruderDET,18.2,0.351,0.169,0.12,0.044,0.018,0.649,1,0.459
Alfonzo McKinnieCHI,14.1,0.557,0.311,0.082,0.082,0.082,0.443,7,0.407
JaQuori McLaughlinDAL,21.9,0.5,0,0,0,0.5,0.5,0,1
Jordan McLaughlinMIN,13.3,0.575,0.29,0.23,0.05,0.005,0.425,3,0.365
Ben McLemorePOR,21.9,0.226,0.091,0.033,0.006,0.096,0.774,8,0.309
De'Anthony MeltonMEM,17.2,0.465,0.167,0.164,0.068,0.066,0.535,21,0.156
Sam MerrillMEM,24.4,0.042,0.042,0,0,0,0.958,0,0.217
Chimezie MetuSAC,14,0.586,0.229,0.223,0.085,0.049,0.414,63,0.301
Khris MiddletonMIL,17.3,0.575,0.104,0.14,0.189,0.142,0.425,6,0.111
C.J. MilesBOS,,,,,,,,0,
Patty MillsBRK,21.4,0.285,0.064,0.037,0.065,0.118,0.715,0,0.257
Paul MillsapTOT,10.9,0.696,0.357,0.243,0.087,0.009,0.304,3,0.371
Paul MillsapBRK,11.1,0.682,0.376,0.212,0.082,0.012,0.318,3,0.37
Paul MillsapPHI,10.2,0.733,0.3,0.333,0.1,0,0.267,0,0.375
Shake MiltonPHI,13.4,0.67,0.199,0.278,0.136,0.057,0.33,1,0.233
Davion MitchellSAC,15.6,0.62,0.189,0.154,0.108,0.17,0.38,3,0.119
Donovan MitchellUTA,16.7,0.525,0.14,0.236,0.077,0.072,0.475,21,0.09
Evan MobleyCLE,8.4,0.889,0.364,0.307,0.143,0.075,0.111,151,0.228
Malik MonkLAL,16.3,0.465,0.229,0.162,0.034,0.04,0.535,54,0.172
Greg MonroeTOT,3.1,1,0.632,0.351,0,0.018,0,1,
Greg MonroeMIN,3.7,1,0.545,0.409,0,0.045,0,0,
Greg MonroeWAS,2.3,1,0.75,0.25,0,0,0,0,
Greg MonroeMIL,3,1,0.636,0.364,0,0,0,1,
Greg MonroeUTA,2.5,1,0.8,0.2,0,0,0,0,
Moses MoodyGSW,17.5,0.399,0.213,0.082,0.049,0.055,0.601,11,0.336
Xavier MoonLAC,16.4,0.725,0.098,0.137,0.176,0.314,0.275,0,0.071
Matt MooneyNYK,25.1,0,0,0,0,0,1,0,0
Ja MorantMEM,10.3,0.782,0.332,0.291,0.135,0.025,0.218,58,0.09
Juwan MorganTOT,17.1,0.333,0.333,0,0,0,0.667,0,0
Juwan MorganTOR,17.1,0.333,0.333,0,0,0,0.667,0,0
Juwan MorganBOS,,,,,,,,0,
Jaylen MorrisSAS,11.6,0.667,0.5,0.167,0,0,0.333,0,0
Marcus MorrisLAC,17.6,0.602,0.046,0.145,0.24,0.171,0.398,0,0.215
Markieff MorrisMIA,14.8,0.658,0.14,0.175,0.228,0.114,0.342,4,0.487
Monte MorrisDEN,16.1,0.594,0.155,0.137,0.132,0.169,0.406,0,0.328
Emmanuel MudiaySAC,13,1,0,0,1,0,0,0,
Mychal MulderTOT,19.7,0.299,0.117,0.104,0.026,0.052,0.701,2,0.241
Mychal MulderORL,19.4,0.313,0.134,0.104,0.03,0.045,0.687,2,0.217
Mychal MulderMIA,22.2,0.2,0,0.1,0,0.1,0.8,0,0.375
Ade MurkeySAC,,,,,,,,0,
Trey Murphy IIINOP,18.5,0.329,0.199,0.087,0.018,0.025,0.671,17,0.392
Dejounte MurraySAS,12.7,0.763,0.214,0.206,0.226,0.116,0.237,23,0.17
