customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Mike MuscalaOKC,19.6,0.343,0.129,0.097,0.089,0.028,0.657,9,0.178
Svi MykhailiukTOR,17,0.427,0.218,0.098,0.06,0.051,0.573,7,0.299
Abdel NaderPHO,12.9,0.6,0.314,0.286,0,0,0.4,1,0.357
Larry Nance Jr.TOT,9.9,0.717,0.466,0.17,0.057,0.024,0.283,43,0.3
Larry Nance Jr.POR,10.5,0.687,0.449,0.162,0.051,0.025,0.313,35,0.274
Larry Nance Jr.NOP,7.6,0.837,0.531,0.204,0.082,0.02,0.163,8,0.5
RJ Nembhard Jr.CLE,8,0.889,0.389,0.333,0.111,0.056,0.111,0,0
Aaron NesmithBOS,18.4,0.368,0.126,0.154,0.033,0.055,0.632,5,0.383
Raul NetoWAS,12,0.728,0.231,0.313,0.159,0.025,0.272,0,0.142
Malik NewmanCLE,14.8,0.8,0.2,0,0.4,0.2,0.2,0,0
Georges NiangPHI,19.1,0.313,0.119,0.153,0.032,0.009,0.687,2,0.305
Daishen NixHOU,12.7,0.612,0.358,0.239,0,0.015,0.388,3,0.154
Zeke NnajiDEN,13.1,0.57,0.355,0.156,0.005,0.054,0.43,20,0.425
Nerlens NoelNYK,5.9,0.95,0.533,0.25,0.167,0,0.05,3,0.667
Jaylen NowellMIN,14.1,0.613,0.203,0.225,0.143,0.041,0.387,8,0.169
Frank NtilikinaDAL,17.5,0.502,0.117,0.157,0.094,0.135,0.498,1,0.315
Jusuf Nurki?POR,5.9,0.907,0.49,0.35,0.03,0.037,0.093,35,0.018
David NwabaHOU,9,0.722,0.511,0.193,0.017,0,0.278,22,0.408
Jordan NworaMIL,16.8,0.509,0.188,0.13,0.097,0.093,0.491,10,0.295
Royce O'NealeUTA,18.7,0.311,0.194,0.106,0.011,0,0.689,10,0.307
Semi OjeleyeTOT,16.5,0.495,0.091,0.263,0.141,0,0.505,5,0.32
Semi OjeleyeMIL,17.9,0.414,0.086,0.229,0.1,0,0.586,3,0.39
Semi OjeleyeLAC,13.2,0.69,0.103,0.345,0.241,0,0.31,2,0
Chuma OkekeORL,18.6,0.355,0.137,0.139,0.045,0.033,0.645,29,0.24
Josh OkogieMIN,12.3,0.548,0.365,0.173,0.01,0,0.452,9,0.468
Onyeka OkongwuATL,2.7,1,0.677,0.296,0.027,0,0,59,
Isaac OkoroCLE,10.4,0.636,0.487,0.123,0.009,0.016,0.364,36,0.732
KZ OkpalaMIA,12,0.623,0.319,0.232,0.058,0.014,0.377,7,0.615
Victor OladipoMIA,16.9,0.507,0.247,0.096,0.082,0.082,0.493,2,0.139
Cameron OliverATL,7.8,0.8,0.6,0.133,0,0.067,0.2,1,0.333
Kelly OlynykDET,14.2,0.584,0.301,0.175,0.045,0.063,0.416,11,0.017
Eugene OmoruyiDAL,17.7,0.6,0,0.2,0.2,0.2,0.4,0,0.5
Miye OniUTA,21.8,0.111,0.111,0,0,0,0.889,0,0.625
Cedi OsmanCLE,17.9,0.372,0.227,0.107,0.017,0.021,0.628,8,0.181
Daniel OturuTOR,6.8,0.833,0.5,0.333,0,0,0.167,0,0
Kelly Oubre Jr.CHO,16.9,0.407,0.231,0.121,0.042,0.013,0.593,53,0.313
Jaysean PaigeDET,23.7,0.333,0,0,0,0.333,0.667,0,0
Trayvon PalmerDET,4,1,0,1,0,0,0,0,
Kevin PangosCLE,17.8,0.435,0.109,0.239,0.043,0.043,0.565,0,0.038
Jabari ParkerBOS,16.6,0.579,0.211,0.184,0.026,0.158,0.421,4,0.375
Eric PaschallUTA,13.4,0.54,0.315,0.183,0.034,0.009,0.46,17,0.519
Chris PaulPHO,16.4,0.73,0.034,0.158,0.346,0.192,0.27,0,0.08
Cameron PaynePHO,13.8,0.641,0.187,0.3,0.112,0.041,0.359,1,0.085
Elfrid PaytonPHO,8,0.897,0.263,0.491,0.097,0.046,0.103,4,0.333
Gary Payton IIGSW,10.4,0.651,0.398,0.244,0.003,0.006,0.349,55,0.6
Norvel PelleUTA,0.4,1,1,0,0,0,0,2,
Reggie PerryTOT,10.5,0.797,0.342,0.266,0.089,0.101,0.203,6,0.063
Reggie PerryPOR,10.4,0.795,0.346,0.269,0.09,0.09,0.205,6,0.063
Reggie PerryIND,20.1,1,0,0,0,1,0,0,
Jamorko PickettDET,21.1,0.22,0.04,0.16,0,0.02,0.78,1,0.359
Theo PinsonDAL,21.9,0.231,0.051,0.077,0.026,0.077,0.769,1,0.1
Mason PlumleeCHO,3.1,0.994,0.681,0.266,0.044,0.003,0.006,108,0
Jakob PoeltlSAS,4.7,0.998,0.471,0.391,0.133,0.005,0.002,44,0
Aleksej PokusevskiOKC,14.6,0.568,0.2,0.248,0.07,0.05,0.432,32,0.203
Yves PonsMEM,15,0.438,0.25,0.125,0.063,0,0.563,1,0.556
Jordan PooleGSW,17.8,0.452,0.142,0.182,0.066,0.061,0.548,16,0.16
Kevin Porter Jr.HOU,16.5,0.489,0.203,0.157,0.058,0.071,0.511,34,0.107
Michael Porter Jr.DEN,17.2,0.534,0.165,0.097,0.107,0.165,0.466,2,0.104
Otto Porter Jr.GSW,16.7,0.481,0.161,0.163,0.087,0.07,0.519,11,0.241
Bobby PortisMIL,14.5,0.612,0.219,0.185,0.126,0.082,0.388,24,0.382
Kristaps Porzi??isTOT,14.3,0.671,0.214,0.183,0.186,0.089,0.329,85,0.028
Kristaps Porzi??isDAL,14.3,0.659,0.23,0.161,0.191,0.077,0.341,60,0.029
Kristaps Porzi??isWAS,14.3,0.695,0.181,0.224,0.178,0.112,0.305,25,0.025
Micah PotterDET,8.3,0.818,0.364,0.273,0.182,0,0.182,0,0
Dwight PowellDAL,4.6,0.908,0.708,0.16,0.02,0.02,0.092,108,0.216
Myles PowellPHI,13.5,0.647,0.353,0.176,0,0.118,0.353,0,0
Norman PowellTOT,14.4,0.582,0.256,0.179,0.058,0.089,0.418,13,0.316
Norman PowellPOR,14.4,0.577,0.264,0.172,0.052,0.09,0.423,12,0.332
Norman PowellLAC,14.2,0.619,0.19,0.238,0.111,0.079,0.381,1,0.167
Joshua PrimoSAS,15.9,0.493,0.2,0.178,0.07,0.044,0.507,8,0.35
Taurean PrinceMIN,17.2,0.413,0.174,0.138,0.062,0.038,0.587,7,0.402
Payton PritchardBOS,20.6,0.343,0.094,0.091,0.062,0.097,0.657,1,0.167
Trevelin QueenHOU,19.6,0.273,0.242,0.03,0,0,0.727,1,0.167
Neemias QuetaSAC,5.4,1,0.447,0.368,0.132,0.053,0,5,
Immanuel QuickleyNYK,18.4,0.453,0.09,0.167,0.13,0.066,0.547,2,0.104
Jahmi'us RamseySAC,12.4,0.69,0.31,0.224,0.069,0.086,0.31,2,0.167
Julius RandleNYK,13.8,0.687,0.254,0.152,0.137,0.144,0.313,43,0.115
Austin ReavesLAL,16.6,0.475,0.211,0.157,0.066,0.041,0.525,6,0.287
Cam ReddishTOT,15.7,0.549,0.211,0.125,0.108,0.105,0.451,13,0.283
Cam ReddishATL,15.8,0.554,0.21,0.111,0.12,0.114,0.446,12,0.288
Cam ReddishNYK,15.1,0.523,0.215,0.2,0.046,0.062,0.477,1,0.258
Davon ReedDEN,18,0.466,0.099,0.161,0.075,0.13,0.534,2,0.302
Paul ReedPHI,5.4,0.917,0.625,0.219,0.042,0.031,0.083,22,0.5
Naz ReidMIN,10.6,0.651,0.399,0.244,0.008,0,0.349,40,0.229
Nick RichardsCHO,2.7,1,0.689,0.278,0.033,0,0,30,
Josh RichardsonTOT,17.2,0.539,0.109,0.154,0.178,0.099,0.461,8,0.183
Josh RichardsonBOS,17.1,0.545,0.108,0.155,0.175,0.108,0.455,3,0.218
Josh RichardsonSAS,17.4,0.529,0.11,0.152,0.183,0.084,0.471,5,0.122
Austin RiversDEN,17.9,0.34,0.16,0.151,0.02,0.009,0.66,2,0.45
Duncan RobinsonMIA,22.7,0.14,0.077,0.039,0.012,0.012,0.86,2,0.239
Justin RobinsonTOT,21.4,0.344,0.065,0.075,0.118,0.086,0.656,0,0.262
Justin RobinsonMIL,20.9,0.351,0.088,0.07,0.14,0.053,0.649,0,0.216
Justin RobinsonSAC,16.2,0.625,0,0.25,0.25,0.125,0.375,0,0.333
Justin RobinsonDET,23.7,0.25,0.036,0.036,0.036,0.143,0.75,0,0.333
Mitchell RobinsonNYK,1.2,1,0.918,0.082,0,0,0,178,
Jeremiah Robinson-EarlOKC,15.3,0.491,0.244,0.151,0.062,0.034,0.509,15,0.279
Isaiah RobyOKC,10.8,0.693,0.319,0.328,0.031,0.015,0.307,36,0.273
Rajon RondoTOT,16.1,0.5,0.222,0.17,0.091,0.017,0.5,0,0.114
Rajon RondoLAL,14.1,0.577,0.254,0.225,0.085,0.014,0.423,0,0.067
Rajon RondoCLE,17.4,0.448,0.2,0.133,0.095,0.019,0.552,0,0.138
Derrick RoseNYK,13.4,0.664,0.245,0.23,0.088,0.102,0.336,0,0.185
Terrence RossORL,18,0.523,0.108,0.125,0.155,0.135,0.477,10,0.133
Terry RozierCHO,16.4,0.492,0.181,0.165,0.082,0.064,0.508,10,0.364
Ricky RubioCLE,15.4,0.577,0.197,0.165,0.136,0.078,0.423,0,0.293
D'Angelo RussellMIN,18.2,0.469,0.128,0.128,0.104,0.109,0.531,5,0.083
Matt RyanBOS,25.6,0,0,0,0,0,1,0,0.4
Domantas SabonisTOT,7.6,0.838,0.485,0.265,0.047,0.041,0.162,59,0.136
Domantas SabonisIND,7.9,0.811,0.511,0.226,0.042,0.032,0.189,45,0.148
Domantas SabonisSAC,6.8,0.916,0.411,0.376,0.059,0.069,0.084,14,0.059
Olivier SarrOKC,10.8,0.713,0.238,0.396,0.069,0.01,0.287,19,0.241
Tomáš SatoranskýTOT,13,0.723,0.241,0.236,0.152,0.094,0.277,6,0.208
Tomáš SatoranskýNOP,12.7,0.71,0.234,0.262,0.15,0.065,0.29,1,0.161
Tomáš SatoranskýSAS,,,,,,,,0,
Tomáš SatoranskýWAS,13.3,0.738,0.25,0.202,0.155,0.131,0.262,5,0.273
Jordan SchakelWAS,17.8,0.455,0.091,0.273,0,0.091,0.545,0,0.167
Admiral SchofieldORL,17.6,0.388,0.147,0.209,0.023,0.008,0.612,1,0.367
Dennis SchröderTOT,14.7,0.655,0.169,0.228,0.126,0.133,0.345,0,0.112
Dennis SchröderBOS,14.5,0.671,0.163,0.24,0.132,0.137,0.329,0,0.125
Dennis SchröderHOU,15.6,0.586,0.193,0.179,0.1,0.114,0.414,0,0.069
Tre ScottCLE,8.2,0.833,0.5,0.167,0.167,0,0.167,0,0
Jay ScrubbLAC,16.2,0.543,0.239,0.087,0.13,0.087,0.457,1,0.143
Wayne SeldenNYK,15.9,0.5,0,0.5,0,0,0.5,0,0.5
Alperen ?engünHOU,9,0.777,0.429,0.297,0.042,0.01,0.223,44,0.085
Collin SextonCLE,11.8,0.702,0.305,0.258,0.066,0.073,0.298,4,0.156
Landry ShametPHO,20,0.311,0.089,0.109,0.058,0.056,0.689,13,0.302
Day'Ron SharpeBRK,3.2,0.953,0.772,0.161,0.02,0,0.047,22,0.143
Pascal SiakamTOR,11.2,0.819,0.216,0.34,0.132,0.132,0.181,31,0.183
Chris SilvaTOT,4,1,0.533,0.4,0,0.067,0,2,
Chris SilvaMIN,,,,,,,,0,
Chris SilvaMIA,4,1,0.533,0.4,0,0.067,0,2,
Marko SimonovicCHI,12.2,0.667,0.333,0.2,0,0.133,0.333,1,0
Anfernee SimonsPOR,19,0.445,0.113,0.118,0.109,0.105,0.555,8,0.09
Zavier SimpsonOKC,9.1,0.846,0.25,0.442,0.096,0.058,0.154,0,0
Jericho SimsNYK,2,1,0.815,0.148,0.037,0,0,33,
Deividas SirvydisDET,19.4,0.3,0.2,0.1,0,0,0.7,0,0
Javonte SmartTOT,16.3,0.55,0.183,0.167,0.133,0.067,0.45,0,0.148
Javonte SmartMIL,15.4,0.581,0.209,0.14,0.14,0.093,0.419,0,0.167
Javonte SmartMIA,18.5,0.471,0.118,0.235,0.118,0,0.529,0,0.111
Marcus SmartBOS,16.1,0.499,0.146,0.251,0.075,0.026,0.501,8,0.233
Dennis Smith Jr.POR,9,0.857,0.354,0.307,0.09,0.106,0.143,3,0.222
Ish SmithTOT,13.3,0.844,0.2,0.172,0.205,0.267,0.156,1,0.224
Ish SmithCHO,11.7,0.865,0.254,0.211,0.205,0.195,0.135,0,0.24
Ish SmithWAS,14.4,0.829,0.159,0.143,0.204,0.322,0.171,1,0.214
Jalen SmithTOT,12.4,0.651,0.291,0.246,0.063,0.051,0.349,38,0.27
Jalen SmithPHO,11.4,0.715,0.248,0.328,0.073,0.066,0.285,10,0.179
Jalen SmithIND,13.1,0.61,0.319,0.192,0.056,0.042,0.39,28,0.313
Xavier SneedTOT,20.9,0.2,0.1,0,0.1,0,0.8,0,0.5
Xavier SneedMEM,24.3,0,0,0,0,0,1,0,0.5
Xavier SneedUTA,20.1,0.25,0.125,0,0.125,0,0.75,0,0.5
Tony SnellTOT,20,0.251,0.105,0.094,0.035,0.018,0.749,3,0.477
Tony SnellPOR,20.8,0.227,0.082,0.072,0.052,0.021,0.773,1,0.52
Tony SnellNOP,18.9,0.284,0.135,0.122,0.014,0.014,0.716,2,0.415
Jaden SpringerPHI,9.1,1,0,1,0,0,0,0,
Cassius StanleyDET,12.5,0.63,0.152,0.413,0.043,0.022,0.37,0,0.471
Nik StauskasTOT,20.7,0.286,0.071,0.071,0.071,0.071,0.714,0,0.5
Nik StauskasMIA,17.4,0.5,0.125,0.125,0.125,0.125,0.5,0,0.75
Nik StauskasBOS,25.2,0,0,0,0,0,1,0,0.333
Lance StephensonTOT,14.3,0.721,0.22,0.164,0.08,0.257,0.279,1,0.178
Lance StephensonATL,15.5,0.769,0.231,0,0.154,0.385,0.231,0,0.333
Lance StephensonIND,14.2,0.719,0.219,0.171,0.077,0.252,0.281,1,0.172
Lamar StevensCLE,9.9,0.796,0.382,0.201,0.125,0.088,0.204,33,0.585
Isaiah StewartDET,5.6,0.906,0.584,0.243,0.039,0.041,0.094,28,0.087
Max StrusMIA,21.1,0.216,0.135,0.053,0.016,0.012,0.784,7,0.258
Jalen SuggsORL,13.3,0.642,0.263,0.245,0.069,0.066,0.358,15,0.122
Craig SwordWAS,7,0.75,0.75,0,0,0,0.25,0,1
Keifer SykesIND,17.3,0.526,0.168,0.079,0.116,0.163,0.474,4,0.3
Jae'Sean TateHOU,9.2,0.723,0.414,0.295,0.01,0.004,0.277,43,0.391
Jayson TatumBOS,15.2,0.584,0.22,0.176,0.088,0.1,0.416,76,0.121
Terry TaylorIND,7.2,0.827,0.482,0.282,0.045,0.018,0.173,11,0.658
Garrett TempleNOP,18.1,0.373,0.18,0.071,0.071,0.051,0.627,4,0.459
Emanuel TerryPHO,2.2,1,0.6,0.4,0,0,0,0,
Tyrell TerryMEM,15.2,1,0,0,1,0,0,0,
Jon TeskeMEM,15.5,1,0,0,1,0,0,0,
Daniel TheisTOT,12.4,0.632,0.378,0.134,0.076,0.045,0.368,48,0.252
Daniel TheisHOU,14.2,0.559,0.346,0.089,0.078,0.045,0.441,24,0.203
Daniel TheisBOS,9.7,0.75,0.429,0.205,0.071,0.045,0.25,24,0.393
Brodric ThomasBOS,14.5,0.5,0.389,0.111,0,0,0.5,1,0.111
Cam ThomasBRK,16,0.654,0.107,0.145,0.25,0.151,0.346,0,0.172
Isaiah ThomasTOT,16.8,0.503,0.126,0.18,0.132,0.066,0.497,0,0.241
Isaiah ThomasLAL,18.7,0.436,0.103,0.077,0.205,0.051,0.564,0,0.182
Isaiah ThomasDAL,17.6,0.625,0.125,0,0.25,0.25,0.375,0,0
Isaiah ThomasCHO,16.2,0.517,0.133,0.225,0.1,0.058,0.483,0,0.276
Matt ThomasCHI,22.6,0.321,0.007,0.015,0.082,0.216,0.679,0,0.242
Klay ThompsonGSW,18.9,0.483,0.061,0.129,0.162,0.131,0.517,5,0.166
Tristan ThompsonTOT,4.3,0.989,0.487,0.464,0.034,0.004,0.011,33,0
Tristan ThompsonSAC,3.9,0.993,0.497,0.47,0.026,0,0.007,18,0
Tristan ThompsonIND,4.9,1,0.292,0.667,0.042,0,0,2,
Tristan ThompsonCHI,4.8,0.978,0.522,0.402,0.043,0.011,0.022,13,0
JT ThorCHO,15.8,0.509,0.255,0.127,0.073,0.055,0.491,7,0.111
Matisse ThybullePHI,13.1,0.52,0.407,0.097,0.017,0,0.48,60,0.486
Killian TillieMEM,18.7,0.323,0.126,0.157,0.039,0,0.677,3,0.302
Xavier Tillman Sr.MEM,9.6,0.773,0.389,0.245,0.106,0.032,0.227,16,0.286
Isaiah ToddWAS,18,0.385,0.154,0.115,0.077,0.038,0.615,0,0.563
Obi ToppinNYK,10.5,0.643,0.505,0.108,0.017,0.013,0.357,102,0.491
Juan Toscano-AndersonGSW,11.7,0.63,0.328,0.277,0.013,0.013,0.37,21,0.253
Karl-Anthony TownsMIN,11.5,0.699,0.333,0.255,0.049,0.062,0.301,99,0.087
Gary Trent Jr.TOR,18.5,0.498,0.087,0.131,0.113,0.167,0.502,14,0.196
P.J. TuckerMIA,13.8,0.549,0.199,0.255,0.079,0.016,0.451,3,0.886
Rayjon TuckerTOT,18.2,0.444,0.222,0,0.111,0.111,0.556,1,0.2
Rayjon TuckerDEN,25.8,0,0,0,0,0,1,0,0
Rayjon TuckerMIL,16,0.571,0.286,0,0.143,0.143,0.429,1,0.333
Myles TurnerIND,14.8,0.534,0.242,0.216,0.048,0.028,0.466,22,0.186
Jonas Valan?i?nasNOP,9.1,0.832,0.333,0.324,0.132,0.043,0.168,53,0.019
Denzel ValentineTOT,20.6,0.288,0.061,0.091,0.106,0.03,0.712,1,0.426
Denzel ValentineCLE,20.6,0.29,0.065,0.081,0.113,0.032,0.71,1,0.432
Denzel ValentineUTA,21.6,0.25,0,0.25,0,0,0.75,0,0.333
Jarred VanderbiltMIN,3.1,0.961,0.726,0.211,0.022,0.003,0.039,117,0.643
Fred VanVleetTOR,19.9,0.415,0.086,0.122,0.091,0.116,0.585,0,0.126
Devin VassellSAS,17.3,0.503,0.131,0.126,0.151,0.096,0.497,28,0.326
Gabe VincentMIA,19.5,0.37,0.138,0.078,0.082,0.072,0.63,1,0.251
Nikola Vu?evi?CHI,13,0.713,0.223,0.253,0.137,0.101,0.287,34,0.06
Dean WadeCLE,18.3,0.346,0.198,0.055,0.069,0.023,0.654,14,0.268
Franz WagnerORL,10.4,0.722,0.295,0.367,0.043,0.016,0.278,59,0.225
Moritz WagnerORL,14.4,0.492,0.316,0.169,0,0.008,0.508,50,0.119
Ish WainrightPHO,15.8,0.433,0.231,0.163,0.019,0.019,0.567,3,0.475
Kemba WalkerNYK,18,0.462,0.138,0.13,0.084,0.111,0.538,0,0.03
Lonnie Walker IVSAS,17,0.538,0.166,0.122,0.093,0.157,0.462,21,0.195
M.J. WalkerPHO,15.4,0.5,0.25,0.25,0,0,0.5,0,0.5
Tyrone WallaceNOP,13,0.6,0.35,0.15,0.05,0.05,0.4,0,0.375
Derrick WaltonDET,18.1,0.5,0.077,0.192,0.038,0.192,0.5,0,0
Brad WanamakerTOT,13.4,0.779,0.208,0.208,0.169,0.195,0.221,0,0.118
Brad WanamakerIND,13.3,0.764,0.222,0.222,0.139,0.181,0.236,0,0.118
Brad WanamakerWAS,14.7,1,0,0,0.6,0.4,0,0,
Duane Washington Jr.IND,16.3,0.496,0.201,0.155,0.08,0.061,0.504,6,0.34
P.J. WashingtonCHO,15.8,0.434,0.286,0.132,0.015,0.002,0.566,51,0.252
Yuta WatanabeTOR,17.2,0.428,0.167,0.13,0.101,0.029,0.572,2,0.43
Lindy Waters IIIOKC,22.4,0.166,0.04,0.097,0.023,0.006,0.834,4,0.247
Tremont WatersTOT,22.7,0.357,0,0.143,0.143,0.071,0.643,0,0.222
Tremont WatersTOR,25.2,0.25,0,0.083,0.083,0.083,0.75,0,0.222
Tremont WatersWAS,7.6,1,0,0.5,0.5,0,0,0,
Trendon WatfordPOR,8,0.858,0.371,0.337,0.135,0.015,0.142,7,0.237
Paul WatsonOKC,19.7,0.257,0.114,0.114,0.029,0,0.743,0,0.423
Quinndary WeatherspoonGSW,8.5,0.762,0.476,0.238,0.048,0,0.238,1,0.2
Russell WestbrookLAL,10.8,0.785,0.333,0.232,0.106,0.114,0.215,17,0.181
Coby WhiteCHI,17.4,0.452,0.183,0.13,0.065,0.073,0.548,5,0.198
Derrick WhiteTOT,15.4,0.539,0.159,0.231,0.12,0.029,0.461,7,0.195
Derrick WhiteSAS,15.2,0.547,0.168,0.228,0.126,0.025,0.453,5,0.182
Derrick WhiteBOS,16,0.517,0.135,0.239,0.104,0.039,0.483,2,0.225
Hassan WhitesideUTA,3.8,1,0.552,0.376,0.058,0.015,0,86,
Joe WieskampSAS,21.5,0.232,0.071,0.054,0.036,0.071,0.768,0,0.209
Aaron WigginsOKC,12.7,0.591,0.249,0.318,0.018,0.006,0.409,15,0.362
Andrew WigginsGSW,14.9,0.608,0.161,0.242,0.094,0.111,0.392,45,0.261
Lindell WiggintonMIL,12.7,0.574,0.377,0.18,0.016,0,0.426,0,0.308
Brandon WilliamsPOR,14.1,0.624,0.259,0.184,0.099,0.082,0.376,1,0.208
Grant WilliamsBOS,16.6,0.403,0.185,0.169,0.035,0.014,0.597,11,0.481
Kenrich WilliamsOKC,13.7,0.618,0.243,0.224,0.079,0.073,0.382,24,0.331
Lou WilliamsATL,15.3,0.681,0.116,0.159,0.244,0.163,0.319,1,0.373
Patrick WilliamsCHI,13.2,0.716,0.275,0.147,0.108,0.186,0.284,7,0.414
Robert WilliamsBOS,2.4,0.997,0.772,0.198,0.014,0.014,0.003,157,0
Ziaire WilliamsMEM,17.2,0.429,0.179,0.108,0.083,0.059,0.571,44,0.471
D.J. WilsonTOR,9.6,0.867,0.4,0.133,0.2,0.133,0.133,4,0.5
Dylan WindlerCLE,18.7,0.286,0.194,0.082,0.01,0,0.714,3,0.429
Justise WinslowTOT,10.7,0.743,0.354,0.257,0.07,0.062,0.257,5,0.409
Justise WinslowLAC,9.5,0.794,0.362,0.319,0.078,0.035,0.206,3,0.517
Justise WinslowPOR,12,0.681,0.345,0.181,0.06,0.095,0.319,2,0.324
Cassius WinstonWAS,19.1,0.455,0.091,0.091,0.182,0.091,0.545,0,0.167
Christian WoodHOU,13,0.617,0.312,0.211,0.054,0.041,0.383,120,0.116
Robert Woodard IISAC,12.7,0.75,0.188,0.25,0.125,0.188,0.25,1,0.25
Delon WrightATL,14.1,0.569,0.294,0.19,0.045,0.041,0.431,7,0.25
McKinley Wright IVMIN,19.3,0.333,0,0.333,0,0,0.667,0,0
Moses WrightTOT,13.2,0.75,0.25,0,0.5,0,0.25,0,1
Moses WrightLAC,,,,,,,,0,
Moses WrightDAL,13.2,0.75,0.25,0,0.5,0,0.25,0,1
Gabe YorkIND,22.4,0.143,0,0.143,0,0,0.857,0,0.167
Thaddeus YoungTOT,7.7,0.824,0.382,0.393,0.026,0.022,0.176,7,0.604
Thaddeus YoungSAS,5.1,0.961,0.391,0.516,0.031,0.023,0.039,3,0.2
Thaddeus YoungTOR,10.1,0.701,0.375,0.285,0.021,0.021,0.299,4,0.651
Trae YoungATL,16.5,0.605,0.159,0.204,0.116,0.126,0.395,0,0.048
Omer YurtsevenMIA,5.8,0.955,0.437,0.385,0.113,0.02,0.045,39,0.182
Cody ZellerPOR,3.7,0.956,0.644,0.267,0.033,0.011,0.044,16,0.25
Ivica ZubacLAC,3.4,1,0.58,0.382,0.032,0.006,0,110,
