PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
221. Lucas Johansen,Lucas Johansen,24,LD,Left,1,0,1,1,1,1,0,0,12:18:00,0.04,0,1,1,0.2,0,4.88,4.88,7,1,87.5,9,2,81.81,8,1,88.89,0.76,0.05,93.83,Standard (2-way),"$762,500","$750,000"
222. Kyle Capobianco,Kyle Capobianco,24,LD,Left,45,2,7,9,0.2,-12,40,0.05,16:00:00,2.45,40,85,62,0.2,3.33,7.08,5.17,317,405,43.91,584,697,45.59,451,554,44.88,28.78,37.97,43.12,Standard (2-way),"$762,500","$750,000"
223. Jacob Moverare,Jacob Moverare,23,LD,Left,19,0,2,2,0.11,3,15,0,16:20:00,0.3,15,28,17,0.06,2.9,5.41,3.29,150,145,50.85,272,269,50.28,198,200,49.75,12.08,15.38,43.99,Standard (2-way),"$762,500","$750,000"
224. Xavier Ouellet,Xavier Ouellet,28,LD/RD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
225. Haydn Fleury,Haydn Fleury,25,LD/RD,Left,36,2,2,4,0.11,0,52,0.04,16:16:00,1.83,52,105,73,0.19,5.32,10.75,7.47,252,282,47.19,454,547,45.35,340,395,46.26,19.21,23.74,44.73,Standard (1-way),"$762,500","$750,000"
226. Brady Keeper,Brady Keeper,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$762,500","$775,000"
227. Jalen Chatfield,Jalen Chatfield,26,RD,Right,16,0,3,3,0.19,1,25,0,14:47:00,1.09,25,51,36,0.28,6.34,12.93,9.13,130,96,57.52,233,169,57.96,175,131,57.19,11.12,7.99,58.19,Standard (2-way),"$762,500","$750,000"
228. Daniil Miromanov,Daniil Miromanov,24,RD,Right,11,0,1,1,0.09,0,15,0,9:47:00,0.61,15,32,21,0.34,8.36,17.84,11.71,57,57,50,106,108,49.53,77,79,49.36,6.12,4.94,55.33,Standard (2-way),"$762,500","$750,000"
229. Dennis Gilbert,Dennis Gilbert,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$762,500","$750,000"
230. Tyler Wotherspoon,Tyler Wotherspoon,29,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
231. Brad Hunt,Brad Hunt,33,LD/RD,Left,50,3,14,17,0.34,-3,67,0.04,15:15:00,2.31,67,127,90,0.18,5.27,9.99,7.08,427,390,52.26,742,713,51,569,527,51.92,35.68,30.88,53.61,Standard (2-way),"$762,500","$750,000"
232. Dylan Coghlan,Dylan Coghlan,24,RD,Right,59,3,10,13,0.22,-5,108,0.03,14:12:00,4.22,108,218,157,0.3,7.73,15.61,11.24,480,409,53.99,883,744,54.27,668,530,55.76,41.03,35.15,53.85,Standard (1-way),"$762,500","$775,000"
233. Jaycob Megna,Jaycob Megna,29,LD,Left,44,2,6,8,0.18,-1,40,0.05,19:07:00,1.18,40,84,51,0.08,2.85,5.99,3.64,387,444,46.57,702,933,42.94,528,664,44.3,33.54,43.76,43.39,Standard (1-way),"$762,500","$750,000"
234. Daniel Renouf,Daniel Renouf,28,LD,Left,4,0,0,0,0,-2,3,0,14:00:00,0.06,3,5,4,0.06,3.21,5.36,4.28,27,28,49.09,45,41,52.33,35,31,53.03,1.85,2.54,42.05,Standard (2-way),"$762,500","$750,000"
235. Bobby Nardella,Bobby Nardella,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$750,000","$750,000"
236. Otto Leskinen,Otto Leskinen,25,LD/RD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
237. Nick Wolff,Nick Wolff,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
238. Connor Carrick,Connor Carrick,28,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
239. Josh Jacobs,Josh Jacobs,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
240. Jordie Benn,Jordie Benn,34,LD/RD,Left,39,1,7,8,0.21,1,37,0.03,14:58:00,1.26,37,77,54,0.13,3.8,7.91,5.55,266,337,44.11,479,605,44.19,357,458,43.8,19.62,24.69,44.28,Standard (1-way),"$750,000","$750,000"
241. Gabriel Carlsson,Gabriel Carlsson,25,LD,Left,38,2,7,9,0.24,6,18,0.11,12:16:00,0.71,18,38,22,0.09,2.31,4.88,2.83,214,276,43.67,396,485,44.95,295,376,43.96,17.98,25.58,41.29,Standard (2-way),"$750,000","$750,000"
242. Olli Juolevi,Olli Juolevi,24,LD,Left,18,0,0,0,0,-1,18,0,12:45:00,0.41,18,34,25,0.11,4.7,8.89,6.53,133,128,50.96,236,193,55.01,178,161,52.51,11.6,10.62,52.21,Standard (2-way),"$750,000","$750,000"
243. Joe Hicketts,Joe Hicketts,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
244. Robbie Russo,Robbie Russo,29,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
245. Josh Mahura,Josh Mahura,24,LD/RD,Left,38,3,4,7,0.18,-14,36,0.08,14:03:00,1.58,36,82,52,0.18,4.04,9.21,5.84,239,284,45.7,451,556,44.79,341,408,45.53,21.11,25.38,45.41,Standard (1-way),"$750,000","$750,000"
246. Mac Hollowell,Mac Hollowell,23,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
247. Sean Day,Sean Day,24,LD,Left,2,0,0,0,0,-2,2,0,10:42:00,0.03,2,3,2,0.08,5.6,8.4,5.6,7,16,30.43,13,22,37.14,11,17,39.29,0.46,1.21,27.54,Standard (2-way),"$750,000","$750,000"
248. Brogan Rafferty,Brogan Rafferty,27,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
249. Andy Welinski,Andy Welinski,29,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
250. Victor Mete,Victor Mete,24,LD/RD,Left,37,0,7,7,0.19,-19,27,0,14:37:00,1.52,27,55,42,0.17,2.99,6.1,4.66,247,303,44.91,451,566,44.35,343,426,44.6,21.48,32.06,40.11,Standard (1-way),"$750,000","$750,000"
251. Keaton Middleton,Keaton Middleton,24,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
252. Linus Högberg,Linus Högberg,23,LD,Left,5,0,2,2,0.4,0,3,0,17:03:00,0.05,3,6,3,0.04,2.11,4.22,2.11,38,60,38.78,63,98,39.13,49,78,38.58,3.08,5.69,35.11,Standard (2-way),"$750,000","$750,000"
253. Jerad Rosburg,Jerad Rosburg,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
254. Guillaume Brisebois,Guillaume Brisebois,24,LD,Left,1,0,0,0,0,-1,0,0,4:13:00,0,0,0,0,0,0,0,0,1,3,25,1,4,20,1,3,25,0.03,0.08,27.27,Standard (2-way),"$750,000","$750,000"
255. Corey Schueneman,Corey Schueneman,26,LD/RD,Left,24,2,4,6,0.25,-5,30,0.07,16:35:00,1.36,30,65,47,0.2,4.51,9.78,7.08,190,244,43.78,346,415,45.47,255,311,45.05,17.27,23.84,42.01,Standard (2-way),"$750,000","$750,000"
256. Madison Bowey,Madison Bowey,27,RD,Right,2,0,0,0,0,-3,0,0,15:44:00,0.01,0,3,1,0.02,0,5.72,1.91,10,25,28.57,18,46,28.12,12,35,25.53,0.91,2.91,23.82,Standard (2-way),"$750,000","$750,000"
257. Kristians Rubins,Kristians Rubins,24,LD,Left,3,0,0,0,0,-2,5,0,11:45:00,0.32,5,6,5,0.54,8.51,10.21,8.51,17,12,58.62,31,27,53.45,25,18,58.14,1.47,0.79,65.04,Standard (2-way),"$750,000","$750,000"
258. Scott Perunovich,Scott Perunovich,23,LD,Left,19,0,6,6,0.32,2,14,0,15:27:00,0.49,14,25,17,0.1,2.86,5.11,3.47,163,126,56.4,279,222,55.69,213,182,53.92,14.09,10.7,56.84,Standard (1-way),"$750,000","$750,000"
259. Will Butcher,Will Butcher,27,LD,Left,37,2,6,8,0.22,-10,35,0.06,16:29:00,1.98,35,78,60,0.2,3.46,7.71,5.93,302,313,49.11,528,521,50.33,411,416,49.7,22.41,23.34,48.98,Standard (2-way),"$750,000","$750,000"
260. Brayden Pachal,Brayden Pachal,22,RD,Right,2,0,0,0,0,-2,1,0,9:45:00,0.05,1,3,2,0.15,3.07,9.22,6.15,14,6,70,26,15,63.41,17,9,65.38,0.94,0.48,66.2,Standard (2-way),"$750,000","$750,000"
261. Cale Fleury,Cale Fleury,23,RD,Right,9,0,0,0,0,-3,4,0,14:34:00,0.25,4,17,7,0.11,1.83,7.78,3.2,62,63,49.6,115,125,47.92,84,90,48.28,5.5,5.56,49.73,Standard (2-way),"$750,000","$750,000"
262. Michael Stone,Michael Stone,32,RD,Right,11,2,4,6,0.55,3,24,0.08,17:27:00,0.91,24,59,34,0.28,7.5,18.43,10.62,111,102,52.11,215,197,52.18,162,153,51.43,9.81,9.89,49.8,Standard (2-way),"$750,000","$750,000"
263. Matt Tennyson,Matt Tennyson,32,RD,Right,8,0,3,3,0.38,0,5,0,12:54:00,0.17,5,11,8,0.1,2.9,6.39,4.65,38,68,35.85,75,123,37.88,59,90,39.6,3.77,5.09,42.5,Standard (2-way),"$750,000","$750,000"
264. Casey Fitzgerald,Casey Fitzgerald,25,RD,Right,36,0,6,6,0.17,-19,41,0,16:52:00,1.2,41,67,50,0.12,4.07,6.65,4.97,282,339,45.41,472,575,45.08,370,457,44.74,23.61,31.73,42.66,Standard (2-way),"$750,000","$750,000"
265. Carl Dahlström,Carl Dahlström,27,LD,Left,3,0,2,2,0.67,2,4,0,13:39:00,0.05,4,5,4,0.07,5.86,7.33,5.86,24,16,60,38,30,55.88,28,25,52.83,1.55,1.53,50.32,Standard (2-way),"$750,000","$750,000"
266. Joseph Cecconi,Joseph Cecconi,25,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
267. Jeremy Davies,Jeremy Davies,25,LD,Left,6,0,2,2,0.33,-5,5,0,12:15:00,0.15,5,9,7,0.12,4.08,7.34,5.71,41,35,53.95,72,58,55.38,55,48,53.4,3.16,2.69,54.02,Standard (2-way),"$750,000","$750,000"
268. Austin Strand,Austin Strand,25,RD,Right,8,0,2,2,0.25,-1,9,0,15:17:00,0.25,9,14,9,0.12,4.41,6.87,4.41,70,59,54.26,112,94,54.37,87,79,52.41,5.38,5.7,48.56,Standard (2-way),"$750,000","$750,000"
269. Ashton Sautner,Ashton Sautner,28,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
270. Simon Benoit,Simon Benoit,23,LD,Left,53,1,4,5,0.09,-5,45,0.02,14:05:00,1.87,45,87,64,0.15,3.61,6.99,5.14,324,442,42.3,590,773,43.29,450,602,42.78,29.91,37.2,44.57,Standard (2-way),"$750,000","$750,000"
271. Ryan Murray,Ryan Murray,28,LD,Left,37,0,4,4,0.11,-3,26,0,14:05:00,1.13,26,45,33,0.13,2.99,5.18,3.8,263,294,47.22,442,525,45.71,330,387,46.03,19.26,23.66,44.87,Standard (1-way),"$750,000","$750,000"
272. Ben Harpur,Ben Harpur,27,LD,Left,19,0,1,1,0.05,-10,13,0,13:44:00,0.47,13,33,24,0.11,2.99,7.59,5.52,94,150,38.52,191,283,40.29,148,208,41.57,8.65,14.23,37.81,Standard (2-way),"$750,000","$750,000"
273. Joel Hanley,Joel Hanley,31,LD/RD,Left,44,2,4,6,0.14,-13,18,0.11,11:56:00,0.68,18,56,32,0.08,2.06,6.4,3.65,212,249,45.99,408,472,46.36,307,350,46.73,18.46,19.94,48.07,Standard (1-way),"$750,000","$750,000"
274. Dakota Mermis,Dakota Mermis,28,LD/RD,Left,2,0,0,0,0,2,1,0,13:54:00,0.02,1,5,2,0.04,2.16,10.79,4.32,18,17,51.43,27,31,46.55,21,24,46.67,1.12,1.04,51.85,Standard (2-way),"$750,000","$750,000"
275. Dylan McIlrath,Dylan McIlrath,30,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
276. Ryan Shea,Ryan Shea,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
277. Cam Dineen,Cam Dineen,24,LD,Left,34,0,7,7,0.21,-16,52,0,15:38:00,2.2,52,110,82,0.25,5.87,12.41,9.25,240,290,45.28,440,556,44.18,342,421,44.82,18.16,29.11,38.42,Standard (2-way),"$750,000","$750,000"
278. Kale Clague,Kale Clague,24,LD/RD,Left,36,2,8,10,0.28,-10,26,0.08,16:44:00,1.45,26,56,31,0.14,2.59,5.58,3.09,296,313,48.6,506,519,49.37,385,408,48.55,27.52,29.85,47.97,Standard (2-way),"$750,000","$750,000"
279. Jacob Larsson,Jacob Larsson,25,LD,Left,6,0,1,1,0.17,-3,5,0,15:16:00,0.1,5,8,7,0.07,3.27,5.24,4.58,46,46,50,88,84,51.16,71,65,52.21,3.86,4.47,46.34,Standard (2-way),"$750,000","$750,000"
280. Lawrence Pilut,Lawrence Pilut,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
281. Michal Kempný,Michal Kempný,31,LD,Left,15,1,1,2,0.13,-3,10,0.1,15:50:00,0.59,10,40,20,0.15,2.52,10.1,5.05,83,114,42.13,185,241,43.43,132,168,44,7.34,9.44,43.72,Standard (1-way),"$750,000","$750,000"
282. Benjamin Gleason,Benjamin Gleason,24,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
283. Jason Demers,Jason Demers,34,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
284. Steven Santini,Steven Santini,27,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
285. Kyle Burroughs,Kyle Burroughs,26,LD/RD,Right,42,1,4,5,0.12,-3,39,0.03,12:56:00,1.64,39,83,49,0.18,4.3,9.17,5.41,229,290,44.12,455,524,46.48,310,370,45.59,18.02,23.48,43.42,Standard (2-way),"$750,000","$750,000"
286. Steven Kampfer,Steven Kampfer,33,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
287. Gustav Olofsson,Gustav Olofsson,27,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
288. Tobie Paquette-Bisson,Tobie Paquette-Bisson,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
289. Colton Poolman,Colton Poolman,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
290. Matt Irwin,Matt Irwin,34,LD/RD,Left,17,1,3,4,0.24,0,29,0.03,12:38:00,0.72,29,49,36,0.2,8.1,13.68,10.05,124,97,56.11,212,180,54.08,166,127,56.66,10.41,7.53,58.03,Standard (2-way),"$750,000","$750,000"
291. William Lagesson,William Lagesson,26,LD,Left,33,0,5,5,0.15,3,33,0,12:34:00,0.77,33,70,39,0.11,4.76,10.11,5.64,201,206,49.39,369,361,50.55,271,282,49.01,16.88,19.27,46.69,Standard (2-way),"$750,000","$750,000"
292. Leon Gawanke,Leon Gawanke,23,LD/RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
293. Gavin Bayreuther,Gavin Bayreuther,28,LD/RD,Left,43,0,8,8,0.19,0,44,0,13:03:00,1.32,44,85,65,0.14,4.7,9.08,6.95,273,322,45.88,485,545,47.09,359,428,45.62,21.3,27.11,44,Standard (1-way),"$750,000","$750,000"
294. Ronald Knot,Ronald Knot,27,D,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
295. Noah Juulsen,Noah Juulsen,25,RD,Right,8,0,2,2,0.25,-4,6,0,14:40:00,0.13,6,11,9,0.07,3.07,5.62,4.59,37,65,36.27,80,127,38.65,56,95,37.09,2.47,5.85,29.69,Standard (2-way),"$750,000","$750,000"
296. Anthony Bitetto,Anthony Bitetto,31,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
297. Louis Belpedio,Louis Belpedio,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
298. Christian Wolanin,Christian Wolanin,27,LD,Left,9,1,1,2,0.22,-1,5,0.2,14:41:00,0.31,5,11,7,0.14,2.27,4.99,3.18,64,72,47.06,127,115,52.48,100,87,53.48,6.35,6.4,49.8,Standard (2-way),"$750,000","$750,000"
299. Michael Del Zotto,Michael Del Zotto,32,LD,Left,26,3,10,13,0.5,-4,35,0.09,18:15:00,1.01,35,81,51,0.13,4.42,10.24,6.45,224,249,47.36,429,459,48.31,307,340,47.45,19.82,22.15,47.22,Standard (2-way),"$750,000","$750,000"
300. Trevor Carrick,Trevor Carrick,27,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
301. Maxime Lajoie,Maxime Lajoie,24,LD,Left,5,0,0,0,0,2,6,0,12:32:00,0.36,6,18,10,0.34,5.74,17.22,9.57,36,22,62.07,67,44,60.36,48,34,58.54,3.49,3.27,51.63,Standard (2-way),"$750,000","$750,000"
302. Parker Wotherspoon,Parker Wotherspoon,24,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
303. Cavan Fitzgerald,Cavan Fitzgerald,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
304. Alex Petrovic,Alex Petrovic,30,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
305. Frédéric Allard,Frédéric Allard,24,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
306. Wyatt Kalynuk,Wyatt Kalynuk,25,LD,Left,5,0,0,0,0,-3,1,0,11:59:00,0.13,1,7,5,0.13,1,7,5,22,32,40.74,49,55,47.12,32,41,43.84,1.83,2.76,39.86,Standard (2-way),"$750,000","$750,000"
307. Andrej Sustr,Andrej Sustr,31,RD,Right,38,1,5,6,0.16,-4,28,0.04,14:43:00,0.65,28,62,39,0.07,3,6.65,4.18,231,314,42.39,413,575,41.8,309,447,40.86,19.29,26.81,41.84,Standard (2-way),"$750,000","$750,000"
308. Andreas Englund,Andreas Englund,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
309. Jack Ahcan,Jack Ahcan,25,LD,Left,6,1,0,1,0.17,-3,5,0.2,16:01:00,0.25,5,14,8,0.16,3.12,8.73,4.99,52,38,57.78,105,70,60,78,52,60,4.34,2.71,61.56,Standard (2-way),"$750,000","$750,000"
310. Scott Harrington,Scott Harrington,29,LD,Left,7,0,1,1,0.14,-4,5,0,14:28:00,0.08,5,9,7,0.05,2.96,5.33,4.15,26,58,30.95,56,110,33.72,39,81,32.5,1.86,5.66,24.73,Standard (2-way),"$750,000","$750,000"
311. Alexandre Carrier,Alexandre Carrier,25,RD,Right,77,3,27,30,0.39,26,95,0.03,20:58:00,6.12,95,188,135,0.23,3.53,6.98,5.01,713,917,43.74,1261,1666,43.08,973,1252,43.73,65.55,86.17,43.2,Standard (2-way),"$733,333","$750,000"